InstanceID,Actual,Predicted,Prob_Cured,Prob_Died,Is_Correct,Stage_Used
1,0,0,0.9971,0.0029,1,Stage1_NB
2,0,0,0.9964,0.0036,1,Stage1_NB
3,0,0,0.9971,0.0029,1,Stage1_NB
4,0,0,0.9332,0.0668,1,Stage1_NB
5,0,1,0.4400,0.5600,0,Stage2_RF
6,0,0,0.7690,0.2310,1,Stage2_RF
7,0,0,0.9981,0.0019,1,Stage1_NB
8,0,0,0.9985,0.0015,1,Stage1_NB
9,0,0,0.9725,0.0275,1,Stage1_NB
10,0,0,0.9985,0.0015,1,Stage1_NB
11,0,0,0.7875,0.2125,1,Stage1_NB
12,0,0,0.9635,0.0365,1,Stage1_NB
13,0,0,0.9971,0.0029,1,Stage1_NB
14,0,0,0.5641,0.4359,1,Stage2_RF
15,0,1,0.3927,0.6073,0,Stage2_RF
16,0,0,0.7530,0.2470,1,Stage1_NB
17,0,0,0.9985,0.0015,1,Stage1_NB
18,0,0,0.9345,0.0655,1,Stage1_NB
19,0,0,0.9725,0.0275,1,Stage1_NB
20,0,0,0.7506,0.2494,1,Stage2_RF
21,0,0,0.9985,0.0015,1,Stage1_NB
22,0,0,0.8550,0.1450,1,Stage2_RF
23,0,0,0.9942,0.0058,1,Stage1_NB
24,0,0,0.9971,0.0029,1,Stage1_NB
25,0,0,0.6241,0.3759,1,Stage2_RF
26,0,0,0.9971,0.0029,1,Stage1_NB
27,0,0,0.9891,0.0109,1,Stage1_NB
28,0,1,0.4400,0.5600,0,Stage2_RF
29,0,0,0.9891,0.0109,1,Stage1_NB
30,0,0,0.9942,0.0058,1,Stage1_NB
31,0,0,0.9971,0.0029,1,Stage1_NB
32,0,0,0.7563,0.2437,1,Stage1_NB
33,0,0,0.9942,0.0058,1,Stage1_NB
34,0,0,0.9891,0.0109,1,Stage1_NB
35,0,0,0.9734,0.0266,1,Stage1_NB
36,0,1,0.3927,0.6073,0,Stage2_RF
37,0,0,0.9852,0.0148,1,Stage1_NB
38,0,0,0.9971,0.0029,1,Stage1_NB
39,0,1,0.4165,0.5835,0,Stage2_RF
40,0,0,0.9985,0.0015,1,Stage1_NB
41,0,0,0.9971,0.0029,1,Stage1_NB
42,0,0,0.7530,0.2470,1,Stage1_NB
43,0,0,0.9852,0.0148,1,Stage1_NB
44,0,0,0.9971,0.0029,1,Stage1_NB
45,0,0,0.9985,0.0015,1,Stage1_NB
46,0,0,0.9971,0.0029,1,Stage1_NB
47,0,0,0.9964,0.0036,1,Stage1_NB
48,0,0,0.7506,0.2494,1,Stage2_RF
49,0,0,0.9971,0.0029,1,Stage1_NB
50,0,0,0.9942,0.0058,1,Stage1_NB
51,0,0,0.9981,0.0019,1,Stage1_NB
52,0,0,0.5300,0.4700,1,Stage2_RF
53,0,0,0.9985,0.0015,1,Stage1_NB
54,0,0,0.8741,0.1259,1,Stage1_NB
55,0,0,0.9891,0.0109,1,Stage1_NB
56,0,0,0.6006,0.3994,1,Stage1_NB
57,0,0,0.8707,0.1293,1,Stage1_NB
58,0,0,0.9852,0.0148,1,Stage1_NB
59,0,0,0.9985,0.0015,1,Stage1_NB
60,0,0,0.9891,0.0109,1,Stage1_NB
61,0,0,0.9985,0.0015,1,Stage1_NB
62,0,0,0.9725,0.0275,1,Stage1_NB
63,0,0,0.9971,0.0029,1,Stage1_NB
64,0,0,0.8550,0.1450,1,Stage2_RF
65,0,0,0.9345,0.0655,1,Stage1_NB
66,0,0,0.9891,0.0109,1,Stage1_NB
67,0,0,0.9344,0.0656,1,Stage1_NB
68,0,0,0.9641,0.0359,1,Stage1_NB
69,0,0,0.7563,0.2437,1,Stage1_NB
70,0,1,0.4881,0.5119,0,Stage2_RF
71,0,0,0.9971,0.0029,1,Stage1_NB
72,0,0,0.9985,0.0015,1,Stage1_NB
73,0,0,0.7506,0.2494,1,Stage2_RF
74,0,0,0.9852,0.0148,1,Stage1_NB
75,0,0,0.9852,0.0148,1,Stage1_NB
76,0,0,0.9971,0.0029,1,Stage1_NB
77,0,0,0.9971,0.0029,1,Stage1_NB
78,0,0,0.9981,0.0019,1,Stage1_NB
79,0,0,0.6412,0.3588,1,Stage2_RF
80,0,0,0.9891,0.0109,1,Stage1_NB
81,0,0,0.7563,0.2437,1,Stage1_NB
82,0,1,0.1187,0.8813,0,Stage2_RF
83,0,0,1.0000,0.0000,1,Stage2_RF
84,0,0,0.9345,0.0655,1,Stage1_NB
85,0,0,0.9928,0.0072,1,Stage1_NB
86,0,0,0.9971,0.0029,1,Stage1_NB
87,0,0,0.5898,0.4102,1,Stage1_NB
88,0,0,0.9985,0.0015,1,Stage1_NB
89,0,1,0.4550,0.5450,0,Stage2_RF
90,0,0,0.9891,0.0109,1,Stage1_NB
91,0,0,0.9891,0.0109,1,Stage1_NB
92,0,1,0.4275,0.5725,0,Stage2_RF
93,0,0,0.9985,0.0015,1,Stage1_NB
94,0,0,0.9985,0.0015,1,Stage1_NB
95,0,0,0.9891,0.0109,1,Stage1_NB
96,0,0,0.9641,0.0359,1,Stage1_NB
97,0,0,0.9891,0.0109,1,Stage1_NB
98,0,0,0.8858,0.1142,1,Stage1_NB
99,0,0,0.9734,0.0266,1,Stage1_NB
100,0,0,0.9985,0.0015,1,Stage1_NB
101,0,0,0.9985,0.0015,1,Stage1_NB
102,0,0,0.9971,0.0029,1,Stage1_NB
103,0,0,0.9852,0.0148,1,Stage1_NB
104,0,0,0.9971,0.0029,1,Stage1_NB
105,0,0,0.9985,0.0015,1,Stage1_NB
106,0,0,0.9971,0.0029,1,Stage1_NB
107,0,0,0.9971,0.0029,1,Stage1_NB
108,0,0,0.9942,0.0058,1,Stage1_NB
109,0,0,0.8833,0.1167,1,Stage1_NB
110,0,0,0.6722,0.3278,1,Stage1_NB
111,0,1,0.0639,0.9361,0,Stage2_RF
112,0,0,0.9810,0.0190,1,Stage2_RF
113,0,0,0.9891,0.0109,1,Stage1_NB
114,0,0,0.9985,0.0015,1,Stage1_NB
115,0,0,0.9981,0.0019,1,Stage1_NB
116,0,0,0.9971,0.0029,1,Stage1_NB
117,0,0,0.9891,0.0109,1,Stage1_NB
118,0,0,0.9985,0.0015,1,Stage1_NB
119,0,1,0.3599,0.6401,0,Stage2_RF
120,0,1,0.4400,0.5600,0,Stage2_RF
121,0,0,0.9985,0.0015,1,Stage1_NB
122,0,0,0.9971,0.0029,1,Stage1_NB
123,0,0,0.9985,0.0015,1,Stage1_NB
124,0,0,0.9971,0.0029,1,Stage1_NB
125,0,0,0.7530,0.2470,1,Stage1_NB
126,0,0,0.6478,0.3522,1,Stage2_RF
127,0,0,0.9985,0.0015,1,Stage1_NB
128,0,0,0.9725,0.0275,1,Stage1_NB
129,0,1,0.3649,0.6351,0,Stage2_RF
130,0,0,0.9852,0.0148,1,Stage1_NB
131,0,0,0.9985,0.0015,1,Stage1_NB
132,0,0,0.9964,0.0036,1,Stage1_NB
133,0,0,0.6072,0.3928,1,Stage2_RF
134,0,0,0.9971,0.0029,1,Stage1_NB
135,0,0,0.9985,0.0015,1,Stage1_NB
136,0,0,0.9985,0.0015,1,Stage1_NB
137,0,0,0.9971,0.0029,1,Stage1_NB
138,0,0,0.9725,0.0275,1,Stage1_NB
139,0,0,0.5200,0.4800,1,Stage2_RF
140,0,0,0.9985,0.0015,1,Stage1_NB
141,0,0,0.8833,0.1167,1,Stage1_NB
142,0,0,0.9942,0.0058,1,Stage1_NB
143,0,0,0.9852,0.0148,1,Stage1_NB
144,0,0,0.9891,0.0109,1,Stage1_NB
145,0,0,0.9725,0.0275,1,Stage1_NB
146,0,0,0.9985,0.0015,1,Stage1_NB
147,0,0,0.9985,0.0015,1,Stage1_NB
148,0,0,0.9702,0.0298,1,Stage1_NB
149,0,0,0.9971,0.0029,1,Stage1_NB
150,0,1,0.4993,0.5007,0,Stage2_RF
151,0,0,0.9971,0.0029,1,Stage1_NB
152,0,0,0.9971,0.0029,1,Stage1_NB
153,0,0,0.9985,0.0015,1,Stage1_NB
154,0,0,0.9971,0.0029,1,Stage1_NB
155,0,0,0.7690,0.2310,1,Stage2_RF
156,0,0,0.9971,0.0029,1,Stage1_NB
157,0,0,0.9956,0.0044,1,Stage1_NB
158,0,0,0.9725,0.0275,1,Stage1_NB
159,0,0,0.9725,0.0275,1,Stage1_NB
160,0,0,0.9891,0.0109,1,Stage1_NB
161,0,0,0.9971,0.0029,1,Stage1_NB
162,0,0,0.9971,0.0029,1,Stage1_NB
163,0,0,0.9985,0.0015,1,Stage1_NB
164,0,0,0.9866,0.0134,1,Stage1_NB
165,0,0,0.9300,0.0700,1,Stage2_RF
166,0,0,0.9852,0.0148,1,Stage1_NB
167,0,0,0.9971,0.0029,1,Stage1_NB
168,0,0,0.9971,0.0029,1,Stage1_NB
169,0,0,0.9225,0.0775,1,Stage1_NB
170,0,0,0.9852,0.0148,1,Stage1_NB
171,0,0,0.9985,0.0015,1,Stage1_NB
172,0,0,0.9852,0.0148,1,Stage1_NB
173,0,0,0.9971,0.0029,1,Stage1_NB
174,0,0,0.9985,0.0015,1,Stage1_NB
175,0,0,0.9919,0.0081,1,Stage1_NB
176,0,0,0.9985,0.0015,1,Stage1_NB
177,0,0,0.9725,0.0275,1,Stage1_NB
178,0,0,0.9891,0.0109,1,Stage1_NB
179,0,0,0.9725,0.0275,1,Stage1_NB
180,0,0,0.9985,0.0015,1,Stage1_NB
181,0,0,0.9985,0.0015,1,Stage1_NB
182,0,0,0.9942,0.0058,1,Stage1_NB
183,0,0,1.0000,0.0000,1,Stage2_RF
184,0,0,0.9928,0.0072,1,Stage1_NB
185,0,0,0.9985,0.0015,1,Stage1_NB
186,0,0,0.9725,0.0275,1,Stage1_NB
187,0,0,0.9917,0.0083,1,Stage1_NB
188,0,0,0.6722,0.3278,1,Stage1_NB
189,0,0,0.8408,0.1592,1,Stage1_NB
190,0,0,0.9971,0.0029,1,Stage1_NB
191,0,0,0.9971,0.0029,1,Stage1_NB
192,0,0,0.9942,0.0058,1,Stage1_NB
193,0,0,0.9971,0.0029,1,Stage1_NB
194,0,0,0.9971,0.0029,1,Stage1_NB
195,0,0,0.9971,0.0029,1,Stage1_NB
196,0,0,0.9971,0.0029,1,Stage1_NB
197,0,0,0.7506,0.2494,1,Stage2_RF
198,0,0,0.9942,0.0058,1,Stage1_NB
199,0,1,0.3813,0.6187,0,Stage2_RF
200,0,0,0.9971,0.0029,1,Stage1_NB
201,0,0,0.5216,0.4784,1,Stage1_NB
202,0,0,0.6006,0.3994,1,Stage1_NB
203,0,0,0.9964,0.0036,1,Stage1_NB
204,0,0,0.9942,0.0058,1,Stage1_NB
205,0,0,0.9971,0.0029,1,Stage1_NB
206,0,0,0.9725,0.0275,1,Stage1_NB
207,0,0,0.9985,0.0015,1,Stage1_NB
208,0,0,0.9725,0.0275,1,Stage1_NB
209,0,0,0.9964,0.0036,1,Stage1_NB
210,0,0,0.7942,0.2058,1,Stage1_NB
211,0,0,0.9942,0.0058,1,Stage1_NB
212,0,0,0.9971,0.0029,1,Stage1_NB
213,0,0,0.9971,0.0029,1,Stage1_NB
214,0,0,0.9891,0.0109,1,Stage1_NB
215,0,0,0.9985,0.0015,1,Stage1_NB
216,0,0,0.9971,0.0029,1,Stage1_NB
217,0,0,0.8741,0.1259,1,Stage1_NB
218,0,0,0.9971,0.0029,1,Stage1_NB
219,0,0,0.9942,0.0058,1,Stage1_NB
220,0,0,0.7942,0.2058,1,Stage1_NB
221,0,0,0.9985,0.0015,1,Stage1_NB
222,0,0,0.9971,0.0029,1,Stage1_NB
223,0,0,0.9971,0.0029,1,Stage1_NB
224,0,0,0.9942,0.0058,1,Stage1_NB
225,0,0,0.9971,0.0029,1,Stage1_NB
226,0,0,0.9269,0.0731,1,Stage1_NB
227,0,0,0.9725,0.0275,1,Stage1_NB
228,0,1,0.4800,0.5200,0,Stage2_RF
229,0,0,0.9985,0.0015,1,Stage1_NB
230,0,0,0.9971,0.0029,1,Stage1_NB
231,0,0,0.8858,0.1142,1,Stage1_NB
232,0,0,0.9971,0.0029,1,Stage1_NB
233,0,0,0.9985,0.0015,1,Stage1_NB
234,0,0,0.5953,0.4047,1,Stage2_RF
235,0,0,0.9692,0.0308,1,Stage1_NB
236,0,0,0.9852,0.0148,1,Stage1_NB
237,0,0,0.9971,0.0029,1,Stage1_NB
238,0,1,0.4400,0.5600,0,Stage2_RF
239,0,0,0.9734,0.0266,1,Stage1_NB
240,0,0,0.9891,0.0109,1,Stage1_NB
241,0,0,0.8741,0.1259,1,Stage1_NB
242,0,0,0.7563,0.2437,1,Stage1_NB
243,0,0,0.9985,0.0015,1,Stage1_NB
244,0,0,0.9942,0.0058,1,Stage1_NB
245,0,0,0.9985,0.0015,1,Stage1_NB
246,0,0,0.9510,0.0490,1,Stage1_NB
247,0,0,0.6072,0.3928,1,Stage2_RF
248,0,0,0.9985,0.0015,1,Stage1_NB
249,0,0,0.7108,0.2892,1,Stage2_RF
250,0,0,0.9971,0.0029,1,Stage1_NB
251,0,0,0.9919,0.0081,1,Stage1_NB
252,0,0,0.9207,0.0793,1,Stage2_RF
253,0,0,0.9971,0.0029,1,Stage1_NB
254,0,0,0.9641,0.0359,1,Stage1_NB
255,0,0,0.9891,0.0109,1,Stage1_NB
256,0,0,0.9852,0.0148,1,Stage1_NB
257,0,0,0.9971,0.0029,1,Stage1_NB
258,0,0,0.9971,0.0029,1,Stage1_NB
259,0,0,0.9891,0.0109,1,Stage1_NB
260,0,0,0.9734,0.0266,1,Stage1_NB
261,0,0,0.5898,0.4102,1,Stage1_NB
262,0,0,0.8833,0.1167,1,Stage1_NB
263,0,0,0.9344,0.0656,1,Stage1_NB
264,0,0,0.8858,0.1142,1,Stage1_NB
265,0,0,0.9891,0.0109,1,Stage1_NB
266,0,0,0.9971,0.0029,1,Stage1_NB
267,0,0,0.9891,0.0109,1,Stage1_NB
268,0,0,0.9971,0.0029,1,Stage1_NB
269,0,0,0.9942,0.0058,1,Stage1_NB
270,0,0,0.7875,0.2125,1,Stage1_NB
271,0,0,0.9985,0.0015,1,Stage1_NB
272,0,0,0.9942,0.0058,1,Stage1_NB
273,0,0,0.9725,0.0275,1,Stage1_NB
274,0,0,0.7306,0.2694,1,Stage1_NB
275,0,1,0.4169,0.5831,0,Stage2_RF
276,0,0,0.9985,0.0015,1,Stage1_NB
277,0,0,0.9985,0.0015,1,Stage1_NB
278,0,0,0.9971,0.0029,1,Stage1_NB
279,0,1,0.3947,0.6053,0,Stage2_RF
280,0,0,0.7249,0.2751,1,Stage2_RF
281,0,0,0.9891,0.0109,1,Stage1_NB
282,0,0,0.9971,0.0029,1,Stage1_NB
283,0,0,0.9985,0.0015,1,Stage1_NB
284,0,0,0.9971,0.0029,1,Stage1_NB
285,0,0,0.5200,0.4800,1,Stage2_RF
286,0,0,0.9942,0.0058,1,Stage1_NB
287,0,0,0.9345,0.0655,1,Stage1_NB
288,0,0,0.6722,0.3278,1,Stage1_NB
289,0,0,0.9702,0.0298,1,Stage1_NB
290,0,0,0.5641,0.4359,1,Stage2_RF
291,0,0,0.9985,0.0015,1,Stage1_NB
292,0,0,0.9725,0.0275,1,Stage1_NB
293,0,0,0.9891,0.0109,1,Stage1_NB
294,0,0,0.9641,0.0359,1,Stage1_NB
295,0,0,0.9725,0.0275,1,Stage1_NB
296,0,0,0.9453,0.0547,1,Stage1_NB
297,0,0,0.9985,0.0015,1,Stage1_NB
298,0,0,0.9942,0.0058,1,Stage1_NB
299,0,0,0.6722,0.3278,1,Stage1_NB
300,0,0,0.9635,0.0365,1,Stage1_NB
301,0,0,0.8853,0.1147,1,Stage1_NB
302,0,0,0.9971,0.0029,1,Stage1_NB
303,0,0,0.7942,0.2058,1,Stage1_NB
