InstanceID,Actual,Predicted,Prob_Cured,Prob_Died,Is_Correct,Stage_Used
1,1,0,0.5931,0.4069,0,Stage2_RF
2,1,1,0.3124,0.6876,1,Stage2_RF
3,1,1,0.1641,0.8359,1,Stage2_RF
4,1,0,0.9852,0.0148,0,Stage1_NB
5,1,0,0.9300,0.0700,0,Stage2_RF
6,0,0,0.7249,0.2751,1,Stage2_RF
7,0,0,0.9641,0.0359,1,Stage1_NB
8,0,0,0.5593,0.4407,1,Stage2_RF
9,0,0,0.6651,0.3349,1,Stage2_RF
10,0,0,0.9359,0.0641,1,Stage1_NB
11,0,0,0.9985,0.0015,1,Stage1_NB
12,0,0,0.8858,0.1142,1,Stage1_NB
13,0,0,0.8858,0.1142,1,Stage1_NB
14,0,0,0.9725,0.0275,1,Stage1_NB
15,0,0,0.9702,0.0298,1,Stage1_NB
16,0,0,0.9985,0.0015,1,Stage1_NB
17,0,1,0.3959,0.6041,0,Stage2_RF
18,0,0,0.9345,0.0655,1,Stage1_NB
19,0,0,0.9725,0.0275,1,Stage1_NB
20,0,0,0.9641,0.0359,1,Stage1_NB
21,0,1,0.4359,0.5641,0,Stage2_RF
22,0,0,0.9971,0.0029,1,Stage1_NB
23,0,0,0.9891,0.0109,1,Stage1_NB
24,0,0,0.9985,0.0015,1,Stage1_NB
25,0,0,0.9985,0.0015,1,Stage1_NB
26,0,0,0.9971,0.0029,1,Stage1_NB
27,0,0,0.9971,0.0029,1,Stage1_NB
28,0,0,0.9891,0.0109,1,Stage1_NB
29,0,0,0.9971,0.0029,1,Stage1_NB
30,0,0,0.9971,0.0029,1,Stage1_NB
31,0,0,0.6411,0.3589,1,Stage2_RF
32,0,0,0.9269,0.0731,1,Stage1_NB
33,0,0,0.9971,0.0029,1,Stage1_NB
34,0,0,0.9971,0.0029,1,Stage1_NB
35,0,0,0.9942,0.0058,1,Stage1_NB
36,0,0,0.9891,0.0109,1,Stage1_NB
37,0,0,0.9985,0.0015,1,Stage1_NB
38,0,0,0.9478,0.0522,1,Stage1_NB
39,0,0,0.9611,0.0389,1,Stage1_NB
40,0,0,0.9852,0.0148,1,Stage1_NB
41,0,0,0.9985,0.0015,1,Stage1_NB
42,0,1,0.1532,0.8468,0,Stage2_RF
43,0,0,0.9942,0.0058,1,Stage1_NB
44,0,0,0.9985,0.0015,1,Stage1_NB
45,0,0,0.9942,0.0058,1,Stage1_NB
46,0,0,0.9971,0.0029,1,Stage1_NB
47,0,0,0.9985,0.0015,1,Stage1_NB
48,0,0,0.9971,0.0029,1,Stage1_NB
49,0,0,0.9985,0.0015,1,Stage1_NB
50,0,0,0.9985,0.0015,1,Stage1_NB
51,0,0,0.9985,0.0015,1,Stage1_NB
52,0,0,0.9725,0.0275,1,Stage1_NB
53,0,0,0.9971,0.0029,1,Stage1_NB
54,0,0,0.8635,0.1365,1,Stage1_NB
55,0,0,0.8516,0.1484,1,Stage1_NB
56,0,0,0.6503,0.3497,1,Stage2_RF
57,0,1,0.2275,0.7725,0,Stage2_RF
58,0,1,0.1827,0.8173,0,Stage2_RF
59,0,0,0.7690,0.2310,1,Stage2_RF
60,0,0,0.9985,0.0015,1,Stage1_NB
61,0,0,0.9359,0.0641,1,Stage1_NB
62,0,0,0.9359,0.0641,1,Stage1_NB
63,0,0,0.9359,0.0641,1,Stage1_NB
64,0,0,0.9971,0.0029,1,Stage1_NB
65,0,0,0.9359,0.0641,1,Stage1_NB
66,0,0,0.5959,0.4041,1,Stage1_NB
67,0,1,0.2368,0.7632,0,Stage2_RF
68,0,0,0.9985,0.0015,1,Stage1_NB
69,0,0,0.9725,0.0275,1,Stage1_NB
70,0,0,0.9725,0.0275,1,Stage1_NB
71,0,0,0.9725,0.0275,1,Stage1_NB
72,0,0,0.9942,0.0058,1,Stage1_NB
73,0,0,0.7530,0.2470,1,Stage1_NB
74,0,0,0.9635,0.0365,1,Stage1_NB
75,0,0,0.9985,0.0015,1,Stage1_NB
76,0,0,0.9985,0.0015,1,Stage1_NB
77,0,0,0.9985,0.0015,1,Stage1_NB
78,0,0,0.9852,0.0148,1,Stage1_NB
79,0,0,0.9852,0.0148,1,Stage1_NB
80,0,0,0.9985,0.0015,1,Stage1_NB
81,0,0,0.9985,0.0015,1,Stage1_NB
82,0,0,0.9985,0.0015,1,Stage1_NB
